0000000001,0000000000,002853,-87996,085147,-06863,017609,002230,0,0
0000000002,0000000200,009128,-90805,081684,-06930,016337,002558,0,0
0000000003,0000000400,015363,-93255,077901,-06974,015000,002878,0,0
0000000004,0000000600,021542,-95339,073808,-06994,013603,003188,0,0
0000000005,0000000800,027632,-97045,069426,-06991,012152,003488,0,0
0000000006,0000001000,033615,-98369,064769,-06964,010652,003777,0,0
0000000007,0000001200,039465,-99305,059857,-06913,009110,004052,0,0
0000000008,0000001400,045159,-99848,054708,-06839,007530,004314,0,0
0000000009,0000001600,050675,-99999,049343,-06742,005921,004560,0,0
0000000010,0000001800,055991,-99753,043784,-06622,004287,004791,0,0
0000000011,0000002000,061086,-99114,038052,-06481,002636,005005,0,0
0000000012,0000002200,065939,-98084,032170,-06317,000973,005201,0,0
0000000013,0000002400,070533,-96668,026161,-06133,-00693,005379,0,0
0000000014,0000002600,074848,-94869,020048,-05928,-02357,005537,0,0
0000000015,0000002800,078868,-92696,013857,-05704,-04014,005676,0,0
0000000016,0000003000,082577,-90158,007610,-05462,-05655,005794,0,0
0000000017,0000003200,085960,-87263,001334,-05201,-07274,005892,0,0
0000000018,0000003400,089003,-84024,-04946,-04925,-08865,005969,0,0
0000000019,0000003600,091695,-80454,-11208,-04632,-10422,006023,0,0
0000000020,0000003800,094026,-76566,-17426,-04326,-11939,006057,0,0
0000000021,0000004000,095985,-72376,-23575,-04006,-13409,006068,0,0
0000000022,0000004200,097565,-67900,-29631,-03674,-14827,006058,0,0
0000000023,0000004400,098761,-63156,-35570,-03332,-16187,006025,0,0
0000000024,0000004600,099566,-58163,-41369,-02981,-17484,005971,0,0
0000000025,0000004800,099980,-52941,-47004,-02622,-18713,005896,0,0
0000000026,0000005000,099998,-47509,-52454,-02257,-19868,005799,0,0
0000000027,0000005200,099621,-41890,-57697,-01886,-20946,005681,0,0
0000000028,0000005400,098851,-36106,-62712,-01512,-21941,005543,0,0
0000000029,0000005600,097691,-30179,-67480,-01136,-22851,005386,0,0
0000000030,0000005800,096146,-24133,-71981,-00760,-23671,005209,0,0
0000000031,0000006000,094221,-17992,-76199,-00384,-24399,005013,0,0
0000000032,0000006200,091924,-11780,-80115,-00011,-25031,004800,0,0
0000000033,0000006400,089265,-05521,-83716,000357,-25564,004570,0,0
