1,0,-2.0050e+003,-8.5602e+004,8.7586e+004,2.8498e+003,-1.5230e+004,1.5387e+004,0,0
2,200,4.2779e+003,-8.8681e+004,8.4383e+004,3.0492e+003,-1.5327e+004,1.5305e+004,0,0
3,400,1.0544e+004,-9.1411e+004,8.0847e+004,3.2488e+003,-1.5415e+004,1.5213e+004,0,0
4,600,1.6768e+004,-9.3780e+004,7.6993e+004,3.4478e+003,-1.5492e+004,1.5111e+004,0,0
5,800,2.2927e+004,-9.5779e+004,7.2834e+004,3.6455e+003,-1.5559e+004,1.5001e+004,0,0
6,1000,2.8994e+004,-9.7400e+004,6.8388e+004,3.8410e+003,-1.5616e+004,1.4882e+004,0,0
7,1200,3.4948e+004,-9.8636e+004,6.3672e+004,4.0337e+003,-1.5662e+004,1.4754e+004,0,0
8,1400,4.0763e+004,-9.9483e+004,5.8705e+004,4.2226e+003,-1.5697e+004,1.4619e+004,0,0
9,1600,4.6417e+004,-9.9938e+004,5.3506e+004,4.4072e+003,-1.5720e+004,1.4477e+004,0,0
10,1800,5.1889e+004,-9.9998e+004,4.8096e+004,4.5866e+003,-1.5733e+004,1.4328e+004,0,0
11,2000,5.7155e+004,-9.9664e+004,4.2496e+004,4.7602e+003,-1.5734e+004,1.4173e+004,0,0
12,2200,6.2196e+004,-9.8936e+004,3.6728e+004,4.9273e+003,-1.5724e+004,1.4013e+004,0,0
13,2400,6.6992e+004,-9.7817e+004,3.0816e+004,5.0871e+003,-1.5703e+004,1.3848e+004,0,0
14,2600,7.1523e+004,-9.6313e+004,2.4782e+004,5.2392e+003,-1.5671e+004,1.3679e+004,0,0
15,2800,7.5772e+004,-9.4429e+004,1.8650e+004,5.3828e+003,-1.5627e+004,1.3506e+004,0,0
16,3000,7.9722e+004,-9.2172e+004,1.2444e+004,5.5174e+003,-1.5573e+004,1.3331e+004,0,0
17,3200,8.3357e+004,-8.9551e+004,6.1895e+003,5.6425e+003,-1.5508e+004,1.3153e+004,0,0
18,3400,8.6663e+004,-8.6577e+004,-8.9637e+001,5.7576e+003,-1.5433e+004,1.2974e+004,0,0
19,3600,8.9627e+004,-8.3261e+004,-6.3684e+003,5.8622e+003,-1.5348e+004,1.2795e+004,0,0
20,3800,9.2238e+004,-7.9616e+004,-1.2622e+004,5.9559e+003,-1.5253e+004,1.2615e+004,0,0
21,4000,9.4484e+004,-7.5657e+004,-1.8826e+004,6.0384e+003,-1.5148e+004,1.2437e+004,0,0
22,4200,9.6358e+004,-7.1400e+004,-2.4955e+004,6.1093e+003,-1.5035e+004,1.2259e+004,0,0
23,4400,9.7851e+004,-6.6861e+004,-3.0986e+004,6.1684e+003,-1.4913e+004,1.2084e+004,0,0
24,4600,9.8958e+004,-6.2058e+004,-3.6895e+004,6.2154e+003,-1.4783e+004,1.1912e+004,0,0
25,4800,9.9675e+004,-5.7010e+004,-4.2658e+004,6.2501e+003,-1.4646e+004,1.1743e+004,0,0
26,5000,9.9998e+004,-5.1737e+004,-4.8253e+004,6.2723e+003,-1.4501e+004,1.1579e+004,0,0
